"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/sliceitt/posts/pfbid02MLp1L2yphqwPadk1vEJ1MRtE3ixHyzoLNjHW6Rfu4m5UNFHfdJh8ktqDefyVrh2Tl","Hide or don't we'll find you & put em' colourssss on you😉Drop a💜to put some gulaal on us.
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜 #holi2022","31","22","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0Kb8xqorufVsPmybzjS8qGLaVL5LmzG6c9XBrNXNLtzjRQiV3txjkYEVZ7AioqKk4l","A world so good, you'd never wanna leave😍
Add 'super' to your name & drop em' in comments to get a free pass🔥
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","17","13","0"
,"https://www.facebook.com/sliceitt/posts/2820415414928451","Everybody's watching us but we're lookin' at youuuuu 😉 Drop an 👀 to stare back at us
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜","17","15","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02DXbA8CUDozeGjsnLUnTDpmq3qjv7WQxdFbqFfXFKaeT5npXidGJMCtTHS75WsHQql","Friendly reminder from our design team that Holi is just round the corner 🤪 Drop a 💦 if you wanna come play with us
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜 #surrealism","33","26","0"
,"https://www.facebook.com/sliceitt/posts/1246671589507924:1246671589507924","","103","42","1"
,"https://www.facebook.com/sliceitt/posts/pfbid02S6MA9NBCykmDHvDQGbr221fDWscXYFHViQjB2aBi5we9fBmcx2uQKMpDieMJ21Ptl","Knock knock....your wingman's here 😉 Too shy to propose your crush? We'll do it for ya' 😍

Tell us about the moment when you fell for your partner/crush & wait for the magic ✨

Here's what you gotta do- 

1. Follow @sliceit_
2. Dive into the memory & tell us about that 'one moment' with your lover/friend/crush
3. Entries will be accepted till 13th Feb, 7 PM
4. Wait for a lovey dovey message after we surprise them 

Love waits for none, so hurry! 🥰
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #onlineshopping #professionals #slicecardformillennials #students #vouchers #visa #visacard #slicevisacard #explore #sliceverse #betterthanever #slicesupercard #💜 #valentineday #proposal #celebration","2491","29","2"
,"https://www.facebook.com/sliceitt/posts/pfbid026WfxMpgrs8bdALiexqmVqs7f2eFoCUahJJ4x4NZNQkQQYtBtEkXAHS5ZDrajzorUl","Super glad to be a part of #OneFamily  😎
.
.
#slice #sliceit #fintech #slicecard #creditcard #creditlimit #shopping #professionals #slicecardformillennials  #visa #visacard #slicevisacard #slicesupercard","129","34","2"
,"https://www.facebook.com/sliceitt/posts/1019670845350150:1019670845350150","","77","24","1"
,"https://www.facebook.com/sliceitt/posts/2785037161799610:1439856499824059","","93","29","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02F3HWWwXFHhqVT2L4kfqyFZpPSgukBe8zSijMeHqUJ9751W6wAMougjqbpbrGF45ul","Sail smoothly from month to month. We've got you 💜
.
.
.
.
.
.
.
.

#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #students #professionals #slicecardformillennials #vouchers #visa #visacard #slicevisa #slicevisacard","52","131","0"
,"https://www.facebook.com/sliceitt/posts/2605229729780355:410335724574935","","93","335","1"
,"https://www.facebook.com/sliceitt/posts/pfbid0wG86e7g7nZcxESR2dnf1gwbantbCKZxesi8KHjH5etyRwXpk4ugGobHsyXvBUmuWl","Have you referred your F.R.I.E.N.D.S to get on slice yet? 🥳 Wondering how they would react to the invite? Well, read on to find out how the characters from F.R.I.E.N.D.S would react if they got a referral invite from slice.

https://blog.sliceit.com/how-characters-from-friends-would-react-if-you-sent-them-a-referral-invite/","14","25","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0ZcRd9qjTPZuCAbaxyeQpWLHkPtXm7QQU62nntiBMMHkUwxK89VPmgEFQCnrceZ5Ul","Hold your breath, because something SUPER DUPER EXCITING is cooking! 🤩🥳Keep your eyes rolling here for more details, we bet you don't want to miss this 💃
.
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #students #professionals #slicecardformillennials #vouchers #visa #visacard #slicevisa #slicevisacard","39","39","2"
,"https://www.facebook.com/sliceitt/posts/pfbid0SCTw3wLkQ9u27CTqaiPt54fbnnVh4q1xfdBuWPxhPE3zBihMjXp3oidMCjiqZF9vl","Jug jug jiyo, Joe! 😉🙏

#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #students #professionals #slicecardformillennials #vouchers #visa #visacard #slicevisa #slicevisacard #joebiden #inauguration #kamalaharris #potus46 #usa #unitedstatesofamerica","41","26","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0V9pGfvX91iLomp5JdRd7K9J8fBbQBYcfT2bWbsezdt6qa2vVxrTM4foHKaNyegq7l","Driving into 2021 with Musk speed for R&D in Namma Bengaluru 😎
.
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #students #professionals #slicecardformillennials #vouchers #visa #visacard #slicevisa #slicevisacard #tesla #elonmusk #teslacars #teslaindia","30","28","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02cAx5jUutP5x6SdoEwtpn2r8zwBquMQehp4yZZ6AJ6jbuHx9reSSnrP33ExV6WRC5l","Go ask him/her out before someone else does! 💖 and tag them in the comments! 😉
.
.
.
.
.
#slice #sliceit #fintech #slicecard #creditcard #nocostemi #emi #creditlimit #shopping #students #professionals #slicecardformillennials #vouchers #visa #visacard #slicevisa #slicevisacard #askherout #crush😍 #holdinghands","21","18","0"
,"https://www.facebook.com/sliceitt/posts/1115578239066574:1115578239066574","","53","14","1"
